State,District,Market_Size_Score,Chronic_Disease_Score,Acute_Disease_Score,Healthcare_Score,Economic_Score,Development_Score,Overall_PMAF,Chronic_PMAF,Acute_PMAF,Overall_Rank,Chronic_Rank,Acute_Rank
Nagaland,Noklak,0.1318648278850407,0.3694714628407016,0.3089678032701725,0.2937338654597105,0.139700733923192,0.5173379938360513,28.43714108318863,28.71236601352798,26.711894474272437,554,566,564
Nagaland,Peren,0.0072146306400415,0.3108037289735759,0.1777722656034863,0.0928650803413054,0.0945737621776341,0.5085533720167441,18.94989684928513,19.38386488653405,15.092085368142016,847,847,850
Nagaland,Phek,0.013893641656394,0.3122902647313181,0.1874714511523721,0.1095786980250627,0.1025583045721524,0.528833692019267,20.09490388429443,20.22631754800023,16.253257915012913,844,846,843
Nagaland,Tuensang,0.0154149955741173,0.2664927864372527,0.3504633863198569,0.0621910398447604,0.0960434596049403,0.4509904054591658,18.662359737230776,16.82992418234716,18.19314600005204,848,850,830
Nagaland,Wokha,0.0130865942041721,0.366062726112152,0.2506116651210506,0.1495430338545936,0.1016189061609635,0.5626911206642765,22.705537010012144,23.21598277415785,19.105306002817084,822,829,822
Nagaland,Zunheboto,0.0111266162286563,0.3339997877444192,0.331671884595979,0.0872077890726151,0.1042891928485262,0.532281331200108,21.3548153104021,20.54383188180908,19.39686327969835,839,845,819
Odisha,Anugul,0.1156497538724967,0.4895317922254242,0.3957811757957942,0.3764375140856608,0.1748028729612081,0.4420388491366991,31.03170948133348,34.01778967283812,29.27138375944554,327,155,343
Odisha,Balangir,0.1559090739523168,0.4093159784675648,0.3407789035612927,0.4345055058270845,0.1174418944908683,0.4463386530482077,30.58485136665813,32.35936578979789,29.756353664775308,351,242,314
Odisha,Baleshwar,0.2096849754928463,0.3880319154809361,0.3807439441934234,0.3562723995508771,0.189603771510599,0.5340346901963973,33.47967533175799,33.084668017330195,32.84115392869047,177,205,155
Odisha,Bargarh,0.1395279186459786,0.4086114181477305,0.3395291483187097,0.3866107311029814,0.1261264927207276,0.481597245781042,30.158653429679,31.532042478771103,28.891504503329635,378,306,369
Odisha,Baudh,0.040371760188871,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.139700733923192,0.5163791810963482,27.30575485286362,27.59056791059999,24.67037163068423,652,664,690
